,APP,M253,HUMAN-RELAXED,HUMAN-STRINGENT,HUMAN-IDONLY-RELAXED,HUMAN-IDONLY-BASELINE,HUMAN-IDONLY-STRINGENT,CONSERVATION-RELAXED,CONSERVATION-STRINGENT,INDEL-RELAXED-FREQ,INDEL-RELAXED-RULE,EXPRESSION-RELAXED,EXPRESSION-STRINGENT,ORTHOLOGY-RELAXED,ORTHOLOGY-STRINGENT
CSP,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
AMA1,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
RH5,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
TRAP,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
CelTOS,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
EBA175,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
MSP1,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
LSA3,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded,excluded
